,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
91,Bowman Sapphire Edition Chrome Prospects,2023,1,0,–,1,1,2,4,17,39,406,"2,268","3,310","6,049"
92,Bowman Sapphire Edition Chrome Prospects Autographs,2023,2,0,–,0,2,1,2,4,19,172,821,587,"1,610"
93,Bowman Scouts' Top 100,2023,6,0,–,1,0,0,0,10,13,61,805,"1,444","2,340"
94,Bowman Sights on September,2023,0,0,–,0,0,0,1,4,6,46,347,907,"1,311"
95,Bowman Spotlights,2023,14,0,–,0,0,0,3,25,23,171,"1,765","3,847","5,848"
96,Bowman Sterling Triple Refractor Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
97,Bowman Under Armour All-American Game Autographs,2023,0,0,–,0,0,0,0,0,0,3,1,0,4
98,Calbee Checklist,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
99,Calbee Legend,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
100,Calbee Star Card,2023,0,0,–,0,0,0,0,0,0,0,4,10,14
101,Calbee Team Strikeout Leaders,2023,0,0,–,0,0,0,0,0,0,0,0,4,4
102,Calbee Title Holder,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
103,Choice Rancho Cucamonga Quakes Team Set,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
104,Epoch Fukuoka Softbank Hawks Premier Edition Rookie Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
105,Epoch Hanshin Tigers Premier Edition Authentic Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
106,Epoch Hiroshima Toyo Carp Premier Edition Printed Signatures,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
107,Epoch Npb Baseball Cards,2023,0,0,–,0,0,0,0,0,1,0,1,1,3
108,Epoch Npb Baseball Cards Authentic Autographs,2023,0,0,–,0,0,0,0,0,0,1,4,1,6
109,Epoch Npb Baseball Cards Superstar Autographs,2023,0,0,–,0,0,0,0,0,0,1,2,0,3
110,Epoch Npb Luxury Collection Npb Star Lineup,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
111,Epoch Npb Luxury Collection Npb Star Lineup Gold,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
112,Epoch One,2023,0,0,–,0,0,0,0,0,0,2,15,86,103
113,Epoch Orix Buffaloes Premier Edition Authentic Autographs,2023,0,0,–,0,0,0,0,0,0,0,2,1,3
114,Epoch Orix Buffaloes Premier Edition Rookie Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
115,Epoch Tokyo Yakult Swallows Premier Edition Authentic Autograph,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
116,Epoch Tokyo Yakult Swallows Premier Edition Combo Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
117,Epoch Tokyo Yakult Swallows Premier Edition Metal Power,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
118,Epoch Tokyo Yakult Swallows Premier Edition One of One Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
119,Epoch Tokyo Yakult Swallows Premier Edition Printed Signatures,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
120,Epoch Tokyo Yakult Swallows Premier Edition Regular Printed Signature Variation,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
121,Epoch Tokyo Yakult Swallows Premier Edition Rookie Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
122,Epoch Yokohama Dena Baystars Premier Edition Authentic Autograph,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
123,Epoch Yokohama Dena Baystars Premier Edition Decomori Signature,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
124,Epoch Yokohama Dena Baystars Premier Edition Rookie Autograph,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
125,Historic Autographs Originals: Back to Back,2023,2,0,–,0,0,0,0,0,0,0,0,0,2
126,Kahn's Cincinnati Reds,2023,0,0,–,0,0,0,0,0,0,2,3,2,7
127,Leaf Exotic Autographs,2023,0,0,–,0,0,0,0,0,1,0,1,0,2
128,Leaf Exotic Dual Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
129,Leaf Signature Series,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
130,Leaf Signature Series Dual Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
131,Onyx Vintage,2023,2,0,–,0,0,0,1,1,3,17,64,39,127
132,Panini Donruss,2023,2,0,–,0,0,4,5,22,42,281,689,303,"1,348"
133,Panini Donruss Bomb Squad,2023,0,0,–,0,0,0,1,0,1,5,16,89,112
134,Panini Donruss Classics Autographs,2023,0,0,–,0,0,0,0,0,0,0,3,1,4
135,Panini Donruss Coming Attractions,2023,0,0,–,0,0,0,0,0,0,2,10,12,24
136,Panini Donruss Cooperstown,2023,0,0,–,0,0,0,0,0,0,1,9,32,42
137,Panini Donruss Dominators,2023,0,0,–,0,0,0,0,0,0,1,14,17,32
138,Panini Donruss Elite Field Vision,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
139,Panini Donruss Elite Series,2023,0,0,–,0,0,0,0,1,0,1,8,29,39
140,Panini Donruss Etched in Glory,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
141,Panini Donruss History Makers,2023,0,0,–,0,0,0,0,0,0,1,2,0,3
142,Panini Donruss Hitmen,2023,0,0,–,0,0,0,0,1,0,5,7,0,13
143,Panini Donruss Locked & Loaded,2023,0,0,–,0,0,0,0,0,2,4,4,45,55
144,Panini Donruss Marvels,2023,0,0,–,0,0,0,0,0,3,10,99,180,292
145,Panini Donruss Monikers,2023,0,0,–,0,0,0,0,0,0,2,1,10,13
