,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
551,Panini Elite Extra Edition All-Time First Round Materials,2022,0,0,–,0,0,0,0,0,0,0,1,0,1
552,Panini Elite Extra Edition College Tickets Optic,2022,0,0,–,0,0,0,0,0,4,10,19,12,45
553,Panini Elite Extra Edition Dominican Prospect League Material Signatures,2022,0,0,–,0,0,0,0,2,0,0,0,0,2
554,Panini Elite Extra Edition Dominican Prospect League Materials,2022,0,0,–,0,0,0,0,1,1,0,0,0,2
555,Panini Elite Extra Edition First Round Materials,2022,0,0,–,0,0,0,1,7,5,10,1,0,24
556,Panini Elite Extra Edition Future Threads,2022,0,0,–,0,0,0,0,1,2,9,1,1,14
557,Panini Elite Extra Edition Future Threads Signatures,2022,0,0,–,0,0,0,0,1,2,12,1,1,17
558,Panini Elite Extra Edition Hidden Gems Autographs,2022,0,0,–,0,0,0,0,1,4,10,11,1,27
559,Panini Elite Extra Edition on Campus,2022,0,0,–,0,0,0,0,0,2,7,18,7,34
560,Panini Elite Extra Edition Passing the Torch Signatures,2022,0,0,–,0,0,0,0,0,1,0,0,0,1
561,Panini Elite Extra Edition Prospects Materials Signatures,2022,1,0,–,0,0,0,1,4,6,5,1,0,18
562,Panini Flawless,2022,1,0,–,0,0,0,1,1,8,22,47,32,112
563,Panini Flawless Bat Barrels,2022,0,0,–,0,0,0,0,0,1,0,1,0,2
564,Panini Flawless Dual Diamond Memorabilia,2022,0,0,–,0,0,0,0,0,1,1,7,5,14
565,Panini Flawless Dual Legendary Materials,2022,0,0,–,0,0,0,0,0,0,0,3,0,3
566,Panini Flawless Dual Memorabilia Autographs,2022,0,0,–,0,0,0,0,1,9,8,8,1,27
567,Panini Flawless Dual Patches,2022,0,0,–,0,0,0,3,3,4,10,4,3,27
568,Panini Flawless Dual Signature Patches,2022,0,0,–,0,0,0,0,0,0,3,5,2,10
569,Panini Flawless Dual Signatures,2022,1,0,–,0,0,0,0,1,3,4,8,3,20
570,Panini Flawless Flawless Achievements Autographs,2022,1,0,–,0,0,0,0,0,2,8,2,2,15
571,Panini Flawless Flawless Autographs,2022,0,0,–,0,0,0,0,1,1,6,6,4,18
572,Panini Flawless Flawless Material Cuts,2022,2,0,–,0,0,0,0,0,0,0,1,0,3
573,Panini Flawless Flawless Picks,2022,0,0,–,0,0,0,0,1,2,1,2,0,6
574,Panini Flawless Flawless Rookie Signatures,2022,1,0,–,0,0,0,0,0,2,1,7,7,18
575,Panini Flawless Flawless Signatures,2022,0,0,–,0,0,0,0,1,4,9,16,5,35
576,Panini Flawless Greats Autographs,2022,1,0,–,0,0,0,0,0,0,6,10,4,21
577,Panini Flawless Legendary Materials,2022,0,0,–,0,0,0,1,1,0,1,7,2,12
578,Panini Flawless Legends Jumbo Materials,2022,0,0,–,0,0,0,0,1,0,2,8,1,12
579,Panini Flawless Momentous Autographs,2022,0,0,–,0,0,0,0,1,3,9,4,2,19
580,Panini Flawless Multi-Gems,2022,0,0,–,0,0,0,0,0,0,0,0,1,1
581,Panini Flawless Patch Autographs,2022,0,0,–,0,0,0,1,0,2,6,6,2,17
582,Panini Flawless Patches,2022,0,0,–,0,0,0,0,3,1,6,21,7,38
583,Panini Flawless Premium Ink,2022,0,0,–,0,0,0,1,0,3,16,17,8,45
584,Panini Flawless Quad Patch Signatures,2022,0,0,–,0,0,1,0,0,6,9,12,2,30
585,"Panini Flawless Red, White & Blue Gems 1/1",2022,0,0,–,0,0,0,0,0,0,0,2,0,2
586,Panini Flawless Rookie Dual Patch Autographs,2022,1,0,–,0,0,0,1,0,1,7,6,0,16
587,Panini Flawless Rookie Patch Autographs,2022,4,0,–,0,0,0,0,0,10,18,23,6,61
588,Panini Flawless Rookie Patch Autographs Horizontal,2022,4,0,–,0,0,0,0,1,1,6,6,2,20
589,Panini Flawless Rookie Patch Signatures,2022,1,0,–,0,0,0,0,0,4,8,9,3,25
590,Panini Flawless Shadow Signatures,2022,1,0,–,0,0,0,0,3,4,6,4,1,19
591,Panini Flawless Showcase Relics,2022,0,0,–,0,0,0,0,0,1,3,11,8,23
592,Panini Flawless Signature Prime Materials,2022,3,0,–,0,0,0,0,1,7,19,27,4,61
593,Panini Flawless Star Swatch Signatures,2022,0,0,–,0,0,0,0,2,3,7,7,4,23
594,Panini Flawless Supplied,2022,1,0,–,0,0,0,0,0,3,7,6,2,19
595,Panini Flawless Triple Legendary Materials,2022,0,0,–,0,0,0,0,0,2,1,4,2,9
596,Panini Flawless Triple Patch Autographs,2022,2,0,–,0,0,0,0,2,1,2,5,1,13
597,Panini Flawless USA Gems Signatures,2022,1,0,–,0,0,0,0,0,1,7,13,2,24
598,Panini Immaculate Collection,2022,3,0,–,0,0,0,2,6,23,94,78,18,224
599,Panini Immaculate Collection Clearly Immaculate Material Signatures,2022,0,0,–,0,0,0,0,5,9,30,45,3,92
600,Panini Immaculate Collection Clearly Immaculate Signatures,2022,2,0,–,0,0,0,0,1,5,26,18,2,54
601,Panini Immaculate Collection Hall of Fame Jumbo Materials,2022,0,0,–,0,0,0,0,0,0,1,0,0,1
602,Panini Immaculate Collection Hall of Fame Materials,2022,0,0,–,0,0,0,0,0,0,1,2,2,5
603,Panini Immaculate Collection Immaculate Black Prime Relics Autographs,2022,1,0,–,0,0,0,0,1,7,25,7,1,42
604,Panini Immaculate Collection Immaculate Clear Prime Relics Autographs,2022,1,0,–,0,0,0,2,4,6,12,7,0,32
605,Panini Immaculate Collection Immaculate Marks,2022,1,0,–,0,0,0,0,1,3,6,13,0,24
606,Panini Immaculate Collection Immaculate Material Autographs,2022,1,0,–,0,0,0,0,0,3,14,12,1,31
607,Panini Immaculate Collection Immaculate Material Signatures,2022,0,0,–,0,0,0,0,2,6,6,0,0,14
608,Panini Immaculate Collection Immaculate Materials Duals,2022,0,0,–,0,0,0,0,0,0,4,1,0,5
609,Panini Immaculate Collection Immaculate Signatures,2022,1,0,–,0,0,0,2,4,12,38,8,0,65
610,Panini Immaculate Collection Jersey Numbers Materials,2022,0,0,–,0,0,0,0,0,0,3,0,0,3
611,Panini Immaculate Collection Jumbo Bat Signatures,2022,0,0,–,0,0,0,0,0,2,6,11,1,20
612,Panini Immaculate Collection Jumbo Fielding Glove,2022,0,0,–,0,0,0,0,1,0,2,1,0,4
613,Panini Immaculate Collection Jumbo Fielding Glove Signatures,2022,0,0,–,0,0,0,0,2,2,4,1,0,9
614,Panini Immaculate Collection Jumbo Jacket Signatures,2022,0,0,–,0,0,0,0,0,0,2,0,0,2
615,Panini Immaculate Collection Jumbo Jersey Signatures,2022,0,0,–,0,0,0,0,0,1,0,2,0,3
616,Panini Immaculate Collection Jumbo Relics,2022,0,0,–,0,0,0,0,4,1,4,9,0,18
617,Panini Immaculate Collection Jumbo Sock Signatures,2022,0,0,–,0,0,0,1,2,4,4,7,0,18
618,Panini Immaculate Collection Legends Dual Materials,2022,0,0,–,0,0,0,0,0,0,3,7,1,11
619,Panini Immaculate Collection Legends Materials,2022,0,0,–,0,0,0,0,1,0,5,6,1,13
620,Panini Immaculate Collection Legends Quad Materials,2022,0,0,–,0,0,0,0,0,1,2,2,0,5
621,Panini Immaculate Collection Materials Relics,2022,1,0,–,0,0,0,0,0,1,5,3,1,11
622,Panini Immaculate Collection Materials Trios,2022,0,0,–,0,0,0,0,0,0,1,2,0,3
623,Panini Immaculate Collection Premium Patch Autographs,2022,0,0,–,0,0,0,0,0,0,4,4,1,9
624,Panini Immaculate Collection Prospect Patch Autographs,2022,4,0,–,0,0,0,1,2,4,19,17,2,49
625,Panini Immaculate Collection Remarkable Rookie Jerseys,2022,1,0,–,0,0,0,0,1,1,8,19,1,31
626,Panini Immaculate Collection Rookie Triple Memorabilia Signatures,2022,0,0,–,0,0,0,2,0,6,13,24,4,49
627,Panini Immaculate Collection Shadowbox Signatures,2022,0,0,–,0,0,0,0,0,1,8,9,1,19
628,Panini Mosaic,2022,2,0,–,0,1,4,20,51,27,133,766,"1,811","2,815"
629,Panini Mosaic Aces,2022,0,0,–,0,0,0,1,4,5,22,110,149,291
630,Panini Mosaic Autographs,2022,0,0,–,0,0,0,0,0,0,2,13,15,30
631,Panini Mosaic Bang!,2022,0,0,–,0,0,0,1,1,3,6,25,53,89
632,Panini Mosaic Big Fly,2022,0,0,–,0,0,0,0,0,0,0,4,11,15
633,Panini Mosaic Blistered,2022,0,0,–,0,0,0,0,0,0,0,4,12,16
634,Panini Mosaic Capital Gains,2022,1,0,–,0,0,0,0,0,2,1,18,15,37
635,Panini Mosaic Denied,2022,0,0,–,0,0,0,0,2,0,2,4,7,15
636,Panini Mosaic Glass Mosaic,2022,0,0,–,0,0,0,0,0,1,6,5,2,14
637,Panini Mosaic Global,2022,0,0,–,0,0,0,0,0,0,0,4,8,12
638,Panini Mosaic Grand Salami,2022,0,0,–,0,0,0,0,1,0,1,3,15,20
639,Panini Mosaic Holofame,2022,0,0,–,0,1,0,0,0,1,2,12,15,31
640,Panini Mosaic Hot Sauce,2022,0,0,–,0,0,0,3,4,4,16,71,118,216
641,Panini Mosaic Longball Masters,2022,0,0,–,0,0,0,0,0,0,3,11,36,50
642,Panini Mosaic Main Character,2022,0,0,–,0,0,0,0,0,0,0,0,1,1
643,Panini Mosaic Men of Mastery,2022,0,0,–,0,0,1,0,0,0,2,3,11,17
644,Panini Mosaic Razzle Dazzle,2022,0,0,–,0,0,0,0,0,1,3,14,11,29
645,Panini Mosaic Rookie Autographs,2022,3,0,–,0,0,1,1,10,7,33,181,343,579
646,Panini Mosaic Rookie Debut,2022,0,0,–,0,0,0,1,3,1,14,72,82,173
647,Panini Mosaic Scripts,2022,0,0,–,0,0,0,1,3,3,6,14,45,72
648,Panini Mosaic Storm Chasers,2022,0,0,–,0,0,0,0,0,0,1,3,8,12
649,Panini Mosaic Straight Fire,2022,0,0,–,0,0,0,1,2,0,2,10,23,38
650,Panini Mosaic Swagger,2022,0,0,–,0,0,0,1,0,2,1,14,32,50
651,Panini Mosaic V Tool,2022,0,0,–,0,0,1,1,2,1,2,17,35,59
652,Panini Mosaic Will to Win,2022,0,0,–,0,0,0,1,0,0,2,10,17,30
653,Panini National Treasures,2022,7,0,–,0,0,1,6,19,47,153,81,20,334
654,Panini National Treasures Apprentice Ink,2022,1,0,–,0,0,0,0,2,8,6,28,24,69
655,Panini National Treasures Bat Knobs 1/1,2022,1,0,–,0,0,0,0,1,0,0,0,0,2
656,Panini National Treasures Bat Nameplates 1/1,2022,1,0,–,0,0,0,0,1,0,1,0,0,3
657,Panini National Treasures Biography Materials,2022,0,0,–,0,0,0,0,0,0,4,8,2,14
658,Panini National Treasures Blockchain Prospect Prime Autographs 1/1,2022,1,0,–,0,0,0,0,0,0,0,0,0,1
659,Panini National Treasures Century Materials,2022,0,0,–,0,0,0,1,0,0,3,3,5,12
660,Panini National Treasures Century Signatures,2022,0,0,–,0,0,0,1,0,3,10,37,17,68
661,Panini National Treasures Clutch Factor Material Signatures,2022,2,0,–,0,0,0,0,0,2,5,12,3,24
662,Panini National Treasures Colossal Materials,2022,0,0,–,0,0,0,0,3,1,6,13,2,25
663,Panini National Treasures Colossal Materials Signatures,2022,2,0,–,0,0,0,1,0,1,4,8,3,19
664,Panini National Treasures Definitive Ink,2022,0,0,–,0,0,0,0,0,2,10,11,5,28
665,Panini National Treasures Diamond Material Autographs,2022,0,0,–,0,0,0,0,0,3,6,12,6,27
666,Panini National Treasures Die-Cut Material Signatures,2022,0,0,–,0,0,0,0,1,0,3,13,10,27
667,Panini National Treasures Ecklar's Choice Relic Autographs,2022,1,0,–,0,0,0,1,1,3,5,13,2,26
668,Panini National Treasures Field Gear,2022,0,0,–,0,0,0,0,1,3,3,7,0,14
669,Panini National Treasures Field Pass Signatures,2022,1,0,–,0,0,0,0,2,9,15,7,0,34
670,Panini National Treasures Hall of Fame Material Signatures,2022,1,0,–,0,0,0,1,2,2,11,6,0,23
671,Panini National Treasures Hall of Fame Materials,2022,0,0,–,0,0,0,0,4,6,4,16,7,37
672,Panini National Treasures Hall of Fame Signatures,2022,1,0,–,0,0,0,0,2,0,3,8,5,19
673,Panini National Treasures Jumbo Gear Signatures,2022,0,0,–,0,0,0,0,0,0,7,17,7,31
674,Panini National Treasures Legacy Signatures,2022,0,0,–,0,0,0,0,1,2,7,11,3,24
675,Panini National Treasures Notable Nicknames Autographs,2022,0,0,–,0,0,0,0,0,0,1,3,1,5
676,Panini National Treasures NT Material Signatures,2022,0,0,–,0,0,0,0,1,0,9,11,6,27
677,Panini National Treasures Penmanship Materials Signatures,2022,0,0,–,0,0,0,0,1,4,14,15,9,43
678,Panini National Treasures Prime Pairings Dual Autographs,2022,0,0,–,0,0,0,0,2,1,8,12,6,29
679,Panini National Treasures Prime Trios Autographs,2022,0,0,–,0,0,0,0,0,0,6,4,8,18
680,Panini National Treasures Red White & Blue Materials,2022,1,0,–,0,0,0,1,0,9,20,4,0,35
681,Panini National Treasures Retro Materials,2022,0,0,–,0,0,0,0,0,4,0,2,0,6
682,Panini National Treasures Rookie Signatures,2022,0,0,–,0,0,0,1,1,0,4,14,6,26
683,Panini National Treasures Rookie Silhouette Signatures,2022,0,0,–,0,0,0,0,0,0,3,5,1,9
684,Panini National Treasures Rookie Silhouettes Materials,2022,0,0,–,0,0,0,0,1,3,3,8,1,16
685,Panini National Treasures Signature Names,2022,0,0,–,0,0,0,1,4,11,7,1,0,24
686,Panini National Treasures Signatures,2022,2,0,–,0,0,0,0,2,1,19,53,32,109
687,Panini National Treasures Supplied,2022,0,0,–,0,0,0,0,0,0,1,1,0,2
688,Panini National Treasures the Future Autographs,2022,0,0,–,0,0,0,0,0,1,3,3,0,7
689,Panini National Treasures Treasured Jersey Numbers,2022,0,0,–,0,0,0,1,0,3,10,8,2,24
690,Panini National Treasures Treasured Material Signatures,2022,2,0,–,0,0,0,0,2,1,7,10,1,23
691,Panini National Treasures Treasured Stats,2022,0,0,–,0,0,0,0,3,6,3,1,1,14
692,Panini Prizm,2022,2,0,–,0,3,11,64,138,100,504,"1,937","1,603","4,362"
693,Panini Prizm Blockchain,2022,0,0,–,0,0,0,0,0,0,0,2,0,2
694,Panini Prizm Championship Stage,2022,0,0,–,0,0,0,0,0,0,1,8,4,13
695,Panini Prizm Color Blast,2022,0,0,–,0,0,0,0,0,0,7,65,100,172
696,Panini Prizm Debut Signatures,2022,3,0,–,0,0,0,1,2,3,16,117,64,206
697,Panini Prizm Draft Picks,2022,5,0,–,1,0,5,15,44,57,183,569,400,"1,279"
698,Panini Prizm Draft Picks Autographs,2022,2,0,–,0,0,0,1,0,1,5,26,54,89
699,Panini Prizm Draft Picks Big Man on Campus,2022,0,0,–,0,0,0,0,1,1,1,12,15,30
700,Panini Prizm Draft Picks Brilliance,2022,1,0,–,0,0,0,0,0,0,2,2,21,26
701,Panini Prizm Draft Picks Color Blast,2022,0,0,–,0,0,0,0,0,1,3,9,14,27
702,Panini Prizm Draft Picks Lava Flow,2022,0,0,–,0,0,0,0,2,2,5,20,78,107
703,Panini Prizm Draft Picks Power Surge,2022,0,0,–,0,0,0,0,0,0,3,9,16,28
704,Panini Prizm Draft Picks Prizmatic,2022,0,0,–,0,0,0,0,2,2,4,33,47,88
705,Panini Prizm Draft Picks Signing Sessions,2022,2,0,–,0,0,0,0,3,4,20,60,9,98
706,Panini Prizm Draft Picks Thunderstruck,2022,0,0,–,0,0,0,1,3,0,5,8,28,45
707,Panini Prizm Emergent,2022,0,0,–,0,0,0,0,0,0,4,8,29,41
708,Panini Prizm Fearless,2022,0,0,–,1,0,0,0,5,6,15,101,137,265
709,Panini Prizm Fireworks,2022,0,0,–,0,0,0,1,1,0,2,16,52,72
710,Panini Prizm Illumination,2022,0,0,–,0,0,2,1,0,2,20,90,197,312
711,Panini Prizm Lava Flow,2022,0,0,–,0,0,0,0,1,0,12,69,125,207
712,Panini Prizm Lumber Inc.,2022,0,0,–,0,0,0,0,0,0,0,0,3,3
713,Panini Prizm Old School,2022,0,0,–,0,0,0,1,2,3,11,105,87,209
714,Panini Prizm Pro Penmanship Autographs,2022,0,0,–,0,0,0,0,0,0,2,4,5,11
715,Panini Prizm Rookie Autographs,2022,5,0,–,0,1,3,12,37,25,118,539,544,"1,284"
716,Panini Prizm Rookie Class,2022,0,0,–,0,1,0,0,3,1,6,35,30,76
717,Panini Prizm Signatures,2022,0,0,–,0,0,0,0,0,0,9,14,6,29
718,Panini Prizm Sluggers,2022,0,0,–,0,0,0,0,3,0,11,24,19,57
719,Panini Prizm Stained Glass,2022,0,0,–,0,1,2,3,19,11,111,560,472,"1,179"
720,Panini Prizm Star Gazing,2022,0,0,–,0,0,0,0,1,3,2,17,17,40
721,Panini Select,2022,1,0,–,0,0,0,6,15,11,72,386,704,"1,195"
722,Panini Select Color Wheel,2022,0,0,–,0,0,0,0,0,0,5,19,31,55
723,Panini Select EN Fuego,2022,0,0,–,1,0,1,0,0,1,2,31,85,121
724,Panini Select Firestorm,2022,0,0,–,0,0,0,0,0,0,1,10,7,18
725,Panini Select Horizontal Rookie Jumbo Swatch,2022,0,0,–,0,0,0,0,1,1,1,21,18,42
726,Panini Select K Zone,2022,0,0,–,0,0,0,0,0,0,0,1,1,2
727,Panini Select Lightning Strikes,2022,0,0,–,0,0,0,0,0,0,0,1,3,4
728,Panini Select Moon Shots,2022,1,0,–,0,0,0,1,1,2,12,48,62,127
729,Panini Select Phenomenon,2022,0,0,–,0,0,0,1,0,0,2,14,50,67
730,Panini Select Rookie Explosion,2022,0,0,–,0,0,0,0,0,0,0,1,4,5
731,Panini Select Rookie Jersey Autographs,2022,0,0,–,0,0,0,3,8,9,54,66,12,152
732,Panini Select Rookie Jumbo Swatch,2022,1,0,–,0,0,0,7,10,1,15,37,26,97
733,Panini Select Select Numbers,2022,0,0,–,0,0,0,0,0,0,1,10,23,34
734,Panini Select Select Stars,2022,0,0,–,0,0,0,1,0,0,2,5,9,17
735,Panini Select Select Swatches,2022,0,0,–,0,0,0,0,0,0,4,6,2,12
736,Panini Select Selective Signatures,2022,0,0,–,0,0,0,0,0,1,1,7,11,20
737,Panini Select Signature Materials,2022,0,0,–,0,0,0,0,1,2,9,6,1,19
738,Panini Select Signatures,2022,2,0,–,0,0,0,1,1,2,2,23,28,59
739,Panini Select Sparks,2022,0,0,–,0,0,0,0,2,1,0,10,28,41
740,Panini Select Sparks Signatures,2022,0,0,–,0,0,1,1,6,0,3,34,55,100
741,Panini Select Thunder & Lightning,2022,0,0,–,0,0,0,0,0,0,0,4,6,10
742,Panini Select Youth Explosion Signatures,2022,0,0,–,0,0,0,1,1,1,3,42,56,104
743,Panini Stars & Stripes USA 18U National Team Signatures,2022,0,0,–,0,0,0,0,0,0,3,1,0,4
744,Panini Stars & Stripes USA National Team Development Program Signatures,2022,0,0,–,0,0,0,0,0,0,0,1,0,1
745,Panini Stars & Stripes USA Silhouettes Signatures,2022,0,0,–,0,0,0,0,0,0,0,1,0,1
746,Panini Stars & Stripes USA Silhouettes Signatures Jerseys,2022,0,0,–,0,0,0,0,0,0,1,3,0,4
747,Panini Three and Two,2022,1,0,–,0,0,0,0,4,20,95,138,69,327
748,Panini Three and Two All Hands Team,2022,0,0,–,0,0,0,0,0,1,1,12,8,22
749,Panini Three and Two All Rookie Team,2022,0,0,–,0,0,0,0,0,1,1,18,33,53
750,Panini Three and Two Autographed Jerseys,2022,1,0,–,0,0,0,1,0,1,9,25,9,46
751,Panini Three and Two Baseball Prospect Jersey Autographs,2022,0,0,–,0,0,0,0,0,0,1,4,3,8
752,Panini Three and Two Day One Autographs,2022,0,0,–,0,0,0,0,0,0,5,17,2,24
753,Panini Three and Two Full Count,2022,0,0,–,0,0,0,0,0,0,0,9,11,20
754,Panini Three and Two Full Count Swatches,2022,0,0,–,0,0,2,0,1,2,10,14,1,30
755,Panini Three and Two Future First Ballots,2022,0,0,–,0,0,0,1,0,0,0,18,9,28
756,Panini Three and Two Hall of Fame Signature Swatches,2022,0,0,–,0,0,0,0,0,1,4,16,7,28
757,Panini Three and Two Jumbo Swatches,2022,0,0,–,0,0,0,0,3,0,11,15,3,32
758,Panini Three and Two Legendary Signatures,2022,0,0,–,0,0,0,0,1,0,3,17,6,27
759,Panini Three and Two Lone Star Signatures,2022,1,0,–,0,0,0,0,1,1,14,35,20,72
760,Panini Three and Two Moments,2022,0,0,–,0,0,0,0,0,1,3,19,15,38
761,Panini Three and Two Plus One Autographs,2022,1,0,–,0,0,0,0,1,0,3,18,4,27
762,Panini Three and Two Prospect Dual Jersey,2022,1,0,–,0,0,0,0,1,2,2,11,5,22
763,Panini Three and Two Prospect Jersey Autographs,2022,1,0,–,0,0,0,0,0,2,10,18,1,32
764,Panini Three and Two Prospects,2022,1,0,–,0,0,0,0,0,5,41,46,25,118
765,Panini Three and Two Quad Jersey Autographs,2022,0,0,–,0,0,0,0,2,3,3,11,4,23
766,Panini Three and Two Rookie Dual Jersey Autographs,2022,0,0,–,0,0,0,0,1,0,8,9,2,20
767,Panini Three and Two Rookie Jerseys,2022,1,0,–,0,0,0,0,6,1,8,18,3,37
768,Panini Three and Two Rookie Quad Jersey,2022,0,0,–,0,0,0,0,1,3,9,13,8,34
769,Panini Three and Two Sultans,2022,0,0,–,0,0,0,0,1,2,5,32,25,65
770,Panini Three and Two Superstar Signatures,2022,3,0,–,0,0,0,0,1,3,10,5,0,22
771,Panini Three and Two Swag,2022,0,0,–,0,0,0,1,0,0,2,11,12,26
772,Panini Three and Two Timeless Moments Autographs,2022,2,0,–,0,0,0,0,1,0,4,11,3,21
773,Scc 2022 Awards DNA Autographs,2022,0,0,–,0,0,0,0,0,0,0,1,0,1
774,Scc 2022 Awards Real Glove Award,2022,0,0,–,0,0,0,0,0,0,1,1,0,2
775,Scc Kbo Golden Premium Autographs,2022,0,0,–,0,0,0,0,0,0,1,3,4,8
776,Scc Kbo Legend,2022,0,0,–,0,0,0,0,0,1,1,3,1,6
777,Scc Kbo Legend Autograph,2022,0,0,–,0,0,0,0,1,0,3,1,1,6
778,Scc Kbo Rainbow Autographs,2022,0,0,–,0,0,0,0,0,0,1,9,4,14
779,Scc Kbo Rainbow Rookie,2022,0,0,–,0,0,0,0,0,0,1,2,1,4
780,Topps,2022,132,2,–,4,1,14,48,124,207,"1,448","8,778","16,380","27,138"
781,Topps 1987 Topps All-Star Baseball,2022,3,0,–,0,0,1,1,2,22,123,203,68,423
782,Topps 1987 Topps Baseball,2022,2,0,–,0,0,1,0,1,4,35,195,188,426
783,Topps 1987 Topps Baseball 35th Anniversary,2022,7,0,–,0,0,0,3,13,17,97,441,663,"1,241"
784,Topps 1987 Topps Baseball Autographs,2022,16,0,–,0,0,0,5,15,57,237,839,881,"2,050"
785,Topps 1987 Topps Baseball Relics,2022,0,0,–,0,0,0,0,3,6,25,44,16,94
786,Topps 1987 Topps Baseball Relics Series 2,2022,0,0,–,0,0,0,1,2,3,9,4,3,22
787,Topps 1987 Topps Relics,2022,0,0,–,0,0,0,1,0,2,3,13,6,25
788,Topps 1st Edition,2022,3,0,–,0,0,0,1,2,5,41,436,356,844
789,Topps 1st Edition Baseball Stars Autographs,2022,2,0,–,0,0,0,0,0,2,9,11,5,29
790,Topps 2021's Greatest Hits,2022,0,0,–,0,0,0,0,0,1,16,126,194,337
791,Topps 206,2022,2,0,–,0,0,0,2,5,1,8,166,566,750
792,Topps 582 Montgomery Set 1,2022,1,0,–,0,0,0,0,0,0,3,23,33,60
793,Topps 582 Montgomery Set 2,2022,0,0,–,0,0,0,0,1,0,1,19,28,49
794,Topps 582 Montgomery Set 3,2022,0,0,–,0,0,0,0,0,1,0,31,96,128
795,Topps 582 Montgomery Set 4,2022,1,0,–,0,0,0,1,3,1,16,188,208,418
796,Topps 582 Montgomery Set 5,2022,0,0,–,0,0,0,0,0,1,13,148,179,341
797,Topps 6-4 Stars,2022,0,0,–,0,0,0,0,0,0,1,1,0,2
798,Topps 70th Anniversary Celebration 2021 Topps 70 Platinum Edition 1952,2022,0,0,–,0,0,0,0,0,1,2,12,10,25
799,Topps 70th Anniversary Celebration 70 Years of Topps,2022,0,0,–,0,0,0,0,0,0,1,10,9,20
800,Topps 70th Anniversary Celebration Celebration Signatures 1952,2022,0,0,–,0,0,0,0,2,0,0,6,3,11
801,Topps 70th Anniversary Celebration Celebration Signatures 1972,2022,0,0,–,0,0,0,0,0,0,0,5,8,13
802,Topps 70th Anniversary Celebration Celebration Signatures 1986,2022,0,0,–,0,0,0,0,0,1,0,4,4,9
803,Topps 70th Anniversary Celebration Celebration Signatures 2021,2022,0,0,–,0,0,0,0,0,0,0,1,9,10
804,Topps 70th Anniversary Celebration Dual Autograph,2022,0,0,–,0,0,0,0,0,0,1,4,4,9
805,Topps Allen & Ginter,2022,10,0,–,1,1,2,12,25,23,96,641,"3,437","4,248"
806,Topps Allen & Ginter '06 A&G Rookie Design Variation Mini,2022,0,0,–,0,0,0,0,0,1,3,9,72,85
807,Topps Allen & Ginter 2021 World Series Champions Mini,2022,0,0,–,0,0,0,0,0,0,0,1,1,2
808,Topps Allen & Ginter Banner Seasons,2022,0,0,–,0,0,0,0,0,1,9,14,127,151
809,Topps Allen & Ginter Baseball Lexicon Mini,2022,0,0,–,0,0,0,0,0,0,0,3,7,10
810,Topps Allen & Ginter Boxloader Autographs,2022,0,0,–,0,0,0,1,0,1,1,2,0,5
811,Topps Allen & Ginter Boxloader Rip,2022,0,0,–,0,0,0,1,0,0,2,0,1,4
812,Topps Allen & Ginter Boxloaders,2022,1,0,–,0,0,0,0,0,0,1,0,4,6
813,Topps Allen & Ginter Chrome,2022,0,0,–,0,0,2,8,27,44,174,865,"3,014","4,134"
814,Topps Allen & Ginter Chrome Autographs,2022,0,0,–,0,1,0,1,0,1,12,118,358,491
815,Topps Allen & Ginter Chrome Baseball Lexicon Minis,2022,0,0,–,0,0,0,0,0,0,3,11,36,50
816,Topps Allen & Ginter Chrome Chase the Rainbow,2022,0,0,–,0,0,0,0,0,0,0,2,15,17
817,Topps Allen & Ginter Chrome Inside the Park Minis,2022,0,0,–,0,0,0,0,0,0,0,4,6,10
818,Topps Allen & Ginter Chrome Rookie Design Variation Minis,2022,0,0,–,0,0,0,1,0,2,9,219,368,599
819,Topps Allen & Ginter Cut Signatures 1/1,2022,0,0,–,0,0,0,0,0,0,0,0,1,1
820,Topps Allen & Ginter Double Rip,2022,0,0,–,0,0,0,0,0,0,4,1,1,6
821,Topps Allen & Ginter Ducks Mini,2022,0,0,–,0,0,0,0,0,0,0,2,10,12
822,Topps Allen & Ginter Famous Rivals,2022,0,0,–,0,0,0,0,0,1,1,9,33,44
823,Topps Allen & Ginter Framed Mini Autographs,2022,3,0,–,0,0,0,2,11,6,38,86,37,183
824,Topps Allen & Ginter Framed Mini Non-Baseball Autographs,2022,0,0,–,0,0,0,0,4,5,19,65,8,101
825,Topps Allen & Ginter Framed Originals 1/1,2022,0,0,–,0,0,0,0,0,0,0,1,0,1
826,Topps Allen & Ginter Full Size Dual Autographs,2022,0,0,–,0,0,0,0,1,0,0,1,2,4
827,Topps Allen & Ginter Full Size Non-Baseball Autographs,2022,0,0,–,0,0,0,0,0,0,0,13,57,70
828,Topps Allen & Ginter Full Sized Autographs,2022,1,0,–,0,0,1,0,0,1,5,18,110,136
829,Topps Allen & Ginter Full-Size Relics A,2022,0,0,–,0,0,0,0,2,4,10,43,32,91
830,Topps Allen & Ginter Full-Size Relics B,2022,3,0,–,0,0,0,1,3,3,6,44,37,97
831,Topps Allen & Ginter Get That Bread,2022,0,0,–,0,0,0,0,1,0,0,3,36,40
832,Topps Allen & Ginter Inside the Park Mini,2022,0,0,–,0,0,0,0,0,0,0,0,5,5
