,Set Name,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
1222,Topps Npb Nippon Professional Baseball Cards Autographs,0,0,–,0,0,0,0,0,0,0,2,0,2
1223,Topps Nscc 1952 Topps Wrapper Redemption,0,0,–,0,0,0,0,1,1,7,112,150,271
1224,Topps Nscc 1987 Topps Anniversary VIP,0,0,–,0,0,0,0,0,1,1,4,4,10
1225,Topps Nscc 2001 Topps Autographs,0,0,–,0,0,0,0,0,4,7,6,1,18
1226,Topps Opening Day,16,0,–,0,2,0,1,8,13,82,330,412,864
1227,Topps Opening Day Ballpark Profile Autographs,1,0,–,0,0,0,0,0,1,0,1,0,3
1228,Topps Opening Day Bomb Squad,0,0,–,0,0,0,1,0,3,6,17,12,39
1229,Topps Opening Day Diamond Relics,0,0,–,0,0,0,0,0,2,0,3,1,6
1230,Topps Opening Day Dugout Peeks,0,0,–,0,0,0,0,0,0,4,18,15,37
1231,Topps Opening Day Luck of Irish,0,0,–,0,0,0,0,1,0,1,9,18,29
1232,Topps Opening Day Major League Mementos Relics,0,0,–,0,0,0,0,0,0,1,1,0,2
1233,Topps Opening Day Mascots,0,0,–,0,0,0,0,0,1,3,13,11,28
1234,Topps Opening Day Opening Day,0,0,–,0,0,0,0,0,0,3,4,0,7
1235,Topps Opening Day Opening Day Autographs,1,0,–,0,0,0,0,0,3,4,3,0,11
1236,Topps Opening Day Opening Day Relics,0,0,–,0,0,0,0,0,0,0,6,0,6
1237,Topps Opening Day Triple Play,0,0,–,0,0,0,1,3,5,13,49,18,89
1238,Topps Opening Day Turf War Dual Diamond Relics,0,0,–,0,0,0,0,0,1,0,1,0,2
1239,Topps Opening Day Walk This Way,0,0,–,0,0,0,0,0,0,1,7,5,13
1240,Topps Oversized 1987 Topps All-Star Boxloaders,1,0,–,0,0,0,1,0,3,4,0,1,10
1241,Topps Oversized 1987 Topps Future Stars,1,0,–,0,0,1,0,0,0,2,3,3,10
1242,Topps Pittsburgh Pirates,0,0,–,0,0,0,0,0,0,0,0,1,1
1243,Topps Player Jersey Commemorative Medallion,2,0,–,0,1,5,2,17,22,81,104,26,260
1244,Topps Postseason Performance Autographs,0,0,–,0,0,0,1,0,2,9,16,21,49
1245,Topps Postseason Performance Relics,0,0,–,0,0,0,0,0,0,3,7,3,13
1246,Topps Premiere Party 1987 Topps Baseball Autographs,3,0,–,0,0,0,0,0,0,2,5,1,11
1247,Topps Pristine,1,0,–,0,0,1,1,8,23,85,415,"2,264","2,798"
1248,Topps Pristine Fresh Faces,0,0,–,0,0,0,0,0,0,8,24,38,70
1249,Topps Pristine Fresh Faces Autographs,0,0,–,0,0,0,0,0,1,0,11,64,76
